Year,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per cápita,Gasto per cápita
2018,Enero,Aragón,ZANAHORIAS,381.09,31082,0.82,57.95,0.29,0.24
2018,Enero,Aragón,CALABACINES,461.16,6705,1.45,51.23,0.35,0.51
2018,Enero,Aragón,OTR.HORTALIZAS/VERD.,1731.33,311606,1.8,81.51,1.32,2.37
2018,Enero,Aragón,BROCOLI,346.39,38678,1.12,36.87,0.26,0.29
2018,Enero,Aragón,ALCACHOFAS,140.93,25221,1.79,18.23,0.11,0.19
2018,Enero,Aragón,VERD./HORT. IV GAMA,532.01,156343,2.94,63.62,0.41,1.19
2018,Enero,Principado de Asturias,TOTAL PATATAS,2574.16,199707,0.78,76.07,2.37,1.84
2018,Enero,Principado de Asturias,PATATAS FRESCAS,1949.01,135299,0.69,62.43,1.8,1.25
2018,Enero,Principado de Asturias,PATATAS CONGELADAS,81.38,8814,1.08,8.07,0.08,0.08
2018,Enero,Principado de Asturias,PATATAS PROCESADAS,108.75,55595,5.11,41.74,0.1,0.51
2018,Enero,Principado de Asturias,T.HORTALIZAS FRESCAS,3584.77,717212,2,97.28,3.31,6.62
2018,Enero,Principado de Asturias,TOMATES,722.51,130988,1.81,72.83,0.67,1.21
2018,Enero,Principado de Asturias,CEBOLLAS,543.04,70704,1.3,66.94,0.5,0.65
2018,Enero,Principado de Asturias,AJOS,106.9,47738,4.47,47.77,0.1,0.44
2018,Enero,Principado de Asturias,COLES,125.08,14832,1.19,18.61,0.12,0.14
2018,Enero,Principado de Asturias,PEPINOS,17.31,2502,1.45,5.36,0.02,0.02
2018,Enero,Principado de Asturias,JUDIAS VERDES,64.15,19215,3,16.69,0.06,0.18
2018,Enero,Principado de Asturias,PIMIENTOS,281.42,57399,2.04,59.03,0.26,0.53
2018,Enero,Principado de Asturias,CHAMPIÑONES+O.SETAS,100.96,47392,4.69,39.71,0.09,0.44
2018,Enero,Principado de Asturias,LECHUGA/ESC./ENDIVIA,236.92,6561,2.77,45.94,0.22,0.61
2018,Enero,Principado de Asturias,ESPARRAGOS,19.72,3982,2.02,3.72,0.02,0.04
2018,Enero,Principado de Asturias,VERDURAS DE HOJA,45.16,20034,4.44,18.27,0.04,0.18
2018,Enero,Principado de Asturias,BERENJENAS,80.31,16398,2.04,15.36,0.07,0.15
2018,Enero,Principado de Asturias,ZANAHORIAS,221.66,21426,0.97,50.13,0.2,0.2
2018,Enero,Principado de Asturias,CALABACINES,333.66,46244,1.39,48.06,0.31,0.43
2018,Enero,Principado de Asturias,OTR.HORTALIZAS/VERD.,685.98,152747,2.23,71.29,0.63,1.41
2018,Enero,Principado de Asturias,BROCOLI,113.34,16318,1.44,21.41,0.1,0.15
2018,Enero,Principado de Asturias,ALCACHOFAS,59.43,10422,1.75,9.53,0.05,0.1
2018,Enero,Principado de Asturias,VERD./HORT. IV GAMA,437.4,138648,3.17,56.74,0.4,1.28
2018,Enero,Islas Baleares,TOTAL PATATAS,2612.78,212011,0.81,84.4,2.54,2.06
2018,Enero,Islas Baleares,PATATAS FRESCAS,1890.23,140353,0.74,75.16,1.83,1.36
2018,Enero,Islas Baleares,PATATAS CONGELADAS,84.77,11389,1.34,12.65,0.08,0.11
2018,Enero,Islas Baleares,PATATAS PROCESADAS,127.56,6027,4.72,44.5,0.12,0.59
2018,Enero,Islas Baleares,T.HORTALIZAS FRESCAS,5149.1,958495,1.86,98.34,5,9.3
2018,Enero,Islas Baleares,TOMATES,965.86,179634,1.86,83.93,0.94,1.74
2018,Enero,Islas Baleares,CEBOLLAS,878,90523,1.03,81.61,0.85,0.88
2018,Enero,Islas Baleares,AJOS,42.86,19842,4.63,28.91,0.04,0.19
2018,Enero,Islas Baleares,COLES,134.19,19309,1.44,31.48,0.13,0.19
2018,Enero,Islas Baleares,PEPINOS,112.33,2085,1.86,18.71,0.11,0.2
2018,Enero,Islas Baleares,JUDIAS VERDES,154.1,45882,2.98,44.65,0.15,0.45
2018,Enero,Islas Baleares,PIMIENTOS,392.8,78799,2.01,54.82,0.38,0.76
2018,Enero,Islas Baleares,CHAMPIÑONES+O.SETAS,194.17,65511,3.37,49.26,0.19,0.64
2018,Enero,Islas Baleares,LECHUGA/ESC./ENDIVIA,279.64,81908,2.93,63.61,0.27,0.8
2018,Enero,Islas Baleares,ESPARRAGOS,20.93,4488,2.14,4.06,0.02,0.04
2018,Enero,Islas Baleares,VERDURAS DE HOJA,77.09,24447,3.17,25.19,0.07,0.24
2018,Enero,Islas Baleares,BERENJENAS,108.22,19536,1.81,33.16,0.11,0.19
2018,Enero,Islas Baleares,ZANAHORIAS,372.95,30124,0.81,64.02,0.36,0.29
2018,Enero,Islas Baleares,CALABACINES,243.9,40312,1.65,48.07,0.24,0.39
2018,Enero,Islas Baleares,OTR.HORTALIZAS/VERD.,1172.06,23733,2.02,86.79,1.14,2.3
2018,Enero,Islas Baleares,BROCOLI,137.72,24309,1.77,34.2,0.13,0.24
2018,Enero,Islas Baleares,ALCACHOFAS,192.67,39261,2.04,41.17,0.19,0.38
2018,Enero,Islas Baleares,VERD./HORT. IV GAMA,934.99,205341,2.2,68.82,0.91,1.99
2018,Enero,Islas Canarias,TOTAL PATATAS,5413.88,459287,0.85,80.54,2.48,2.1
2018,Enero,Islas Canarias,PATATAS FRESCAS,4425.69,366947,0.83,66.35,2.02,1.68
2018,Enero,Islas Canarias,PATATAS CONGELADAS,237.55,24681,1.04,10.56,0.11,0.11
2018,Enero,Islas Canarias,PATATAS PROCESADAS,150.13,67659,4.51,36.37,0.07,0.31
2018,Enero,Islas Canarias,T.HORTALIZAS FRESCAS,9826.05,1834327,1.87,97.75,4.49,8.39
2018,Enero,Islas Canarias,TOMATES,1649.68,269234,1.63,80.95,0.75,1.23
2018,Enero,Islas Canarias,CEBOLLAS,1325.56,135573,1.02,77.41,0.61,0.62
2018,Enero,Islas Canarias,AJOS,93.1,3681,3.95,43.46,0.04,0.17
2018,Enero,Islas Canarias,COLES,205.6,27562,1.34,24.52,0.09,0.13
2018,Enero,Islas Canarias,PEPINOS,179.72,30913,1.72,24.47,0.08,0.14
2018,Enero,Islas Canarias,JUDIAS VERDES,289.42,69929,2.42,22.79,0.13,0.32
2018,Enero,Islas Canarias,PIMIENTOS,1139.83,20758,1.82,78.82,0.52,0.95
2018,Enero,Islas Canarias,CHAMPIÑONES+O.SETAS,211.69,834,3.94,39.98,0.1,0.38
2018,Enero,Islas Canarias,LECHUGA/ESC./ENDIVIA,252.13,8363,3.32,42.52,0.12,0.38
2018,Enero,Islas Canarias,ESPARRAGOS,27.81,8485,3.05,3.48,0.01,0.04
2018,Enero,Islas Canarias,VERDURAS DE HOJA,95.91,41451,4.32,17.55,0.04,0.19
2018,Enero,Islas Canarias,BERENJENAS,94.69,19831,2.09,17.2,0.04,0.09
2018,Enero,Islas Canarias,ZANAHORIAS,768.91,7756,1.01,71,0.35,0.35
2018,Enero,Islas Canarias,CALABACINES,1309.37,196066,1.5,70.04,0.6,0.9
2018,Enero,Islas Canarias,OTR.HORTALIZAS/VERD.,2182.63,546302,2.5,88.32,1,2.5
2018,Enero,Islas Canarias,BROCOLI,87.48,20428,2.34,12.89,0.04,0.09
2018,Enero,Islas Canarias,ALCACHOFAS,4.33,1644,3.8,0.54,0,0.01
2018,Enero,Islas Canarias,VERD./HORT. IV GAMA,1511.13,350797,2.32,61.03,0.69,1.6
2018,Enero,Cantabria,TOTAL PATATAS,1105.9,76113,0.69,74.12,1.99,1.37
2018,Enero,Cantabria,PATATAS FRESCAS,857.1,5516,0.64,67.16,1.54,0.99
2018,Enero,Cantabria,PATATAS CONGELADAS,26.83,3623,1.35,7.44,0.05,0.07
2018,Enero,Cantabria,PATATAS PROCESADAS,44.4,1733,3.9,38.12,0.08,0.31
2018,Enero,Cantabria,T.HORTALIZAS FRESCAS,2167.68,391977,1.81,98,3.89,7.04
2018,Enero,Cantabria,TOMATES,292.46,53509,1.83,62.85,0.53,0.96
2018,Enero,Cantabria,CEBOLLAS,239.27,26687,1.12,47.8,0.43,0.48
2018,Enero,Cantabria,AJOS,33.46,14806,4.43,22.72,0.06,0.27
2018,Enero,Cantabria,COLES,57.16,5924,1.04,19.74,0.1,0.11
2018,Enero,Cantabria,PEPINOS,43.73,7129,1.63,20.34,0.08,0.13
2018,Enero,Cantabria,JUDIAS VERDES,55.63,17792,3.2,16.17,0.1,0.32
2018,Enero,Cantabria,PIMIENTOS,211.08,44131,2.09,61.62,0.38,0.79
2018,Enero,Cantabria,CHAMPIÑONES+O.SETAS,79.3,21997,2.77,42.77,0.14,0.4
2018,Enero,Cantabria,LECHUGA/ESC./ENDIVIA,116.52,31112,2.67,60.4,0.21,0.56
2018,Enero,Cantabria,ESPARRAGOS,0.57,476,8.33,0.74,0,0.01
2018,Enero,Cantabria,VERDURAS DE HOJA,21.81,5689,2.61,13.72,0.04,0.1
2018,Enero,Cantabria,BERENJENAS,42.76,8479,1.98,23.11,0.08,0.15
2018,Enero,Cantabria,ZANAHORIAS,169.61,11939,0.7,48.18,0.3,0.21
2018,Enero,Cantabria,CALABACINES,159.51,25385,1.59,41.9,0.29,0.46
2018,Enero,Cantabria,OTR.HORTALIZAS/VERD.,644.81,116921,1.81,70.3,1.16,2.1
2018,Enero,Cantabria,BROCOLI,88.3,1647,1.87,27.7,0.16,0.3
2018,Enero,Cantabria,ALCACHOFAS,17.3,3418,1.98,8.05,0.03,0.06
2018,Enero,Cantabria,VERD./HORT. IV GAMA,241.26,5721,2.37,72.49,0.43,1.03
2018,Enero,Castilla-La Mancha,TOTAL PATATAS,4597.4,344559,0.75,75.59,2.19,1.64
2018,Enero,Castilla-La Mancha,PATATAS FRESCAS,3210.36,20186,0.63,64.53,1.53,0.96
2018,Enero,Castilla-La Mancha,PATATAS CONGELADAS,313,34505,1.1,17.22,0.15,0.16
2018,Enero,Castilla-La Mancha,PATATAS PROCESADAS,214.81,108195,5.04,50.65,0.1,0.52
2018,Enero,Castilla-La Mancha,T.HORTALIZAS FRESCAS,7783.55,1361338,1.75,96.82,3.71,6.49
2018,Enero,Castilla-La Mancha,TOMATES,1925.5,301956,1.57,76.16,0.92,1.44
2018,Enero,Castilla-La Mancha,CEBOLLAS,860.68,85249,0.99,61.93,0.41,0.41
2018,Enero,Castilla-La Mancha,AJOS,99.13,37627,3.8,30.86,0.05,0.18
2018,Enero,Castilla-La Mancha,COLES,181.18,17326,0.96,14.08,0.09,0.08
2018,Enero,Castilla-La Mancha,PEPINOS,260.42,37651,1.45,32.63,0.12,0.18
2018,Enero,Castilla-La Mancha,JUDIAS VERDES,209.3,62397,2.98,30.71,0.1,0.3
2018,Enero,Castilla-La Mancha,PIMIENTOS,634.8,113128,1.78,56.71,0.3,0.54
2018,Enero,Castilla-La Mancha,CHAMPIÑONES+O.SETAS,277.74,111668,4.02,54.88,0.13,0.53
2018,Enero,Castilla-La Mancha,LECHUGA/ESC./ENDIVIA,372.23,99077,2.66,53.3,0.18,0.47
2018,Enero,Castilla-La Mancha,ESPARRAGOS,118.14,28063,2.38,11.6,0.06,0.13
2018,Enero,Castilla-La Mancha,VERDURAS DE HOJA,185.97,43888,2.36,26.96,0.09,0.21
2018,Enero,Castilla-La Mancha,BERENJENAS,126.39,24537,1.94,20.14,0.06,0.12
2018,Enero,Castilla-La Mancha,ZANAHORIAS,453.73,365,0.8,55.61,0.22,0.17
2018,Enero,Castilla-La Mancha,CALABACINES,718.27,103137,1.44,59.59,0.34,0.49
2018,Enero,Castilla-La Mancha,OTR.HORTALIZAS/VERD.,1360.06,259136,1.91,72.78,0.65,1.24
2018,Enero,Castilla-La Mancha,BROCOLI,167.27,24693,1.48,22.37,0.08,0.12
2018,Enero,Castilla-La Mancha,ALCACHOFAS,257.47,4747,1.84,25.29,0.12,0.23
2018,Enero,Castilla-La Mancha,VERD./HORT. IV GAMA,869.26,213966,2.46,64.27,0.41,1.02
2018,Enero,Castilla y León,TOTAL PATATAS,4092.65,290639,0.71,63.25,1.67,1.19
2018,Enero,Castilla y León,PATATAS FRESCAS,3043.99,180108,0.59,50.77,1.24,0.74
2018,Enero,Castilla y León,PATATAS CONGELADAS,127.83,16158,1.26,8.22,0.05,0.07
2018,Enero,Castilla y León,PATATAS PROCESADAS,184.16,94373,5.12,33.07,0.08,0.39
2018,Enero,Castilla y León,T.HORTALIZAS FRESCAS,8783.29,152848,1.74,95.76,3.59,6.25
2018,Enero,Castilla y León,TOMATES,1500.63,24382,1.62,69.58,0.61,1
2018,Enero,Castilla y León,CEBOLLAS,1061.73,103821,0.98,57.21,0.43,0.42
2018,Enero,Castilla y León,AJOS,117.59,46328,3.94,26.18,0.05,0.19
2018,Enero,Castilla y León,COLES,383.01,41504,1.08,26.19,0.16,0.17
2018,Enero,Castilla y León,PEPINOS,145.2,21627,1.49,15.21,0.06,0.09
2018,Enero,Castilla y León,JUDIAS VERDES,258.11,69783,2.7,25.14,0.11,0.29
2018,Enero,Castilla y León,PIMIENTOS,776.89,13941,1.79,61.41,0.32,0.57
2018,Enero,Castilla y León,CHAMPIÑONES+O.SETAS,260.52,85784,3.29,34.09,0.11,0.35
2018,Enero,Castilla y León,LECHUGA/ESC./ENDIVIA,714.31,177249,2.48,60.43,0.29,0.72
2018,Enero,Castilla y León,ESPARRAGOS,135.32,51425,3.8,4.61,0.06,0.21
2018,Enero,Castilla y León,VERDURAS DE HOJA,159.67,42175,2.64,20.59,0.07,0.17
2018,Enero,Castilla y León,BERENJENAS,147.57,25842,1.75,19.37,0.06,0.11
2018,Enero,Castilla y León,ZANAHORIAS,766.19,55267,0.72,53.26,0.31,0.23
2018,Enero,Castilla y León,CALABACINES,630.55,85199,1.35,46.68,0.26,0.35
2018,Enero,Castilla y León,OTR.HORTALIZAS/VERD.,1726,339246,1.97,77.58,0.71,1.39
2018,Enero,Castilla y León,BROCOLI,277.2,38895,1.4,23.42,0.11,0.16
2018,Enero,Castilla y León,ALCACHOFAS,166.21,31534,1.9,12.21,0.07,0.13
2018,Enero,Castilla y León,VERD./HORT. IV GAMA,1118.68,305833,2.73,60.43,0.46,1.25
2018,Enero,Cataluña,TOTAL PATATAS,19590.65,1608399,0.82,86.85,2.83,2.32
2018,Enero,Cataluña,PATATAS FRESCAS,14309.07,103283,0.72,79.47,2.07,1.49
2018,Enero,Cataluña,PATATAS CONGELADAS,616.32,81253,1.32,11.86,0.09,0.12
2018,Enero,Cataluña,PATATAS PROCESADAS,933.05,494315,5.3,54.72,0.13,0.71
2018,Enero,Cataluña,T.HORTALIZAS FRESCAS,41332.1,7853467,1.9,98.35,5.97,11.35
2018,Enero,Cataluña,TOMATES,7779.26,1509481,1.94,84.07,1.12,2.18
2018,Enero,Cataluña,CEBOLLAS,5204.71,571365,1.1,78.89,0.75,0.83
2018,Enero,Cataluña,AJOS,403.37,173714,4.31,34.17,0.06,0.25
2018,Enero,Cataluña,COLES,1333.92,139288,1.04,28.11,0.19,0.2
2018,Enero,Cataluña,PEPINOS,661.15,10408,1.57,22.68,0.1,0.15
2018,Enero,Cataluña,JUDIAS VERDES,1695.4,601333,3.55,43.86,0.25,0.87
2018,Enero,Cataluña,PIMIENTOS,2556.71,493074,1.93,60.54,0.37,0.71
2018,Enero,Cataluña,CHAMPIÑONES+O.SETAS,1067.81,370099,3.47,41.74,0.15,0.53
2018,Enero,Cataluña,LECHUGA/ESC./ENDIVIA,2561.67,728717,2.84,65.93,0.37,1.05
2018,Enero,Cataluña,ESPARRAGOS,408.44,86951,2.13,9.53,0.06,0.13
2018,Enero,Cataluña,VERDURAS DE HOJA,960.66,239102,2.49,30.21,0.14,0.35
2018,Enero,Cataluña,BERENJENAS,956.41,173883,1.82,41.14,0.14,0.25
2018,Enero,Cataluña,ZANAHORIAS,2165.8,198649,0.92,56.51,0.31,0.29
2018,Enero,Cataluña,CALABACINES,2594.5,397587,1.53,50.93,0.37,0.57
2018,Enero,Cataluña,OTR.HORTALIZAS/VERD.,10982.28,2066143,1.88,88.51,1.59,2.99
2018,Enero,Cataluña,BROCOLI,1544.37,183326,1.19,34.88,0.22,0.26
2018,Enero,Cataluña,ALCACHOFAS,2527.17,500509,1.98,46.45,0.37,0.72
2018,Enero,Cataluña,VERD./HORT. IV GAMA,4523.53,1219038,2.69,70.94,0.65,1.76
2018,Enero,Extremadura,TOTAL PATATAS,2181.27,154254,0.71,79.27,1.85,1.31
2018,Enero,Extremadura,PATATAS FRESCAS,1611.04,9487,0.59,60.77,1.37,0.8
2018,Enero,Extremadura,PATATAS CONGELADAS,127.8,13747,1.08,12.7,0.11,0.12
2018,Enero,Extremadura,PATATAS PROCESADAS,88.49,45637,5.16,46.07,0.08,0.39
2018,Enero,Extremadura,T.HORTALIZAS FRESCAS,3930.43,65736,1.67,96.1,3.33,5.58
2018,Enero,Extremadura,TOMATES,852.13,128835,1.51,78.05,0.72,1.09
2018,Enero,Extremadura,CEBOLLAS,481.33,48273,1,61.46,0.41,0.41
2018,Enero,Extremadura,AJOS,53.36,217,4.07,37.45,0.05,0.18
2018,Enero,Extremadura,COLES,186.79,15426,0.83,12.4,0.16,0.13
2018,Enero,Extremadura,PEPINOS,64.48,9317,1.45,20.2,0.05,0.08
2018,Enero,Extremadura,JUDIAS VERDES,78.4,2062,2.63,21.8,0.07,0.17
2018,Enero,Extremadura,PIMIENTOS,248.91,44895,1.8,53.42,0.21,0.38
2018,Enero,Extremadura,CHAMPIÑONES+O.SETAS,92.89,31171,3.36,41.53,0.08,0.26
2018,Enero,Extremadura,LECHUGA/ESC./ENDIVIA,296.45,813,2.74,55.49,0.25,0.69
2018,Enero,Extremadura,ESPARRAGOS,9.96,495,4.97,5.08,0.01,0.04
2018,Enero,Extremadura,VERDURAS DE HOJA,107.18,25489,2.38,25.12,0.09,0.22
2018,Enero,Extremadura,BERENJENAS,43.99,8155,1.85,19.01,0.04,0.07
2018,Enero,Extremadura,ZANAHORIAS,236.01,20579,0.87,47.45,0.2,0.17
2018,Enero,Extremadura,CALABACINES,271.23,35272,1.3,46.61,0.23,0.3
2018,Enero,Extremadura,OTR.HORTALIZAS/VERD.,907.32,161378,1.78,69.48,0.77,1.37
2018,Enero,Extremadura,BROCOLI,205.68,22809,1.11,23.65,0.17,0.19
2018,Enero,Extremadura,ALCACHOFAS,117.81,22403,1.9,20.96,0.1,0.19
2018,Enero,Extremadura,VERD./HORT. IV GAMA,396.75,110863,2.79,66.5,0.34,0.94
2018,Enero,Galicia,TOTAL PATATAS,5652.75,386787,0.68,61.01,2.04,1.4
2018,Enero,Galicia,PATATAS FRESCAS,4598.08,283053,0.62,46,1.66,1.02
2018,Enero,Galicia,PATATAS CONGELADAS,129.49,14388,1.11,6.43,0.05,0.05
2018,Enero,Galicia,PATATAS PROCESADAS,185.03,89347,4.83,31.41,0.07,0.32
2018,Enero,Galicia,T.HORTALIZAS FRESCAS,10103.3,1744545,1.73,96.57,3.65,6.3
2018,Enero,Galicia,TOMATES,1528.42,288519,1.89,71.24,0.55,1.04
2018,Enero,Galicia,CEBOLLAS,938.46,104781,1.12,50.09,0.34,0.38
2018,Enero,Galicia,AJOS,160.72,60306,3.75,29.63,0.06,0.22
2018,Enero,Galicia,COLES,931.61,104947,1.13,34.58,0.34,0.38
2018,Enero,Galicia,PEPINOS,77.33,10724,1.39,7.36,0.03,0.04
2018,Enero,Galicia,JUDIAS VERDES,310.69,79197,2.55,23.56,0.11,0.29
2018,Enero,Galicia,PIMIENTOS,699.94,135306,1.93,55.54,0.25,0.49
2018,Enero,Galicia,CHAMPIÑONES+O.SETAS,230.74,81186,3.52,27.94,0.08,0.29
2018,Enero,Galicia,LECHUGA/ESC./ENDIVIA,801.29,180554,2.25,54.91,0.29,0.65
2018,Enero,Galicia,ESPARRAGOS,82.7,15142,1.83,4.48,0.03,0.05
2018,Enero,Galicia,VERDURAS DE HOJA,191.85,51645,2.69,21.89,0.07,0.19
2018,Enero,Galicia,BERENJENAS,103.82,17727,1.71,12.69,0.04,0.06
2018,Enero,Galicia,ZANAHORIAS,870.58,77378,0.89,60.79,0.31,0.28
2018,Enero,Galicia,CALABACINES,590.82,82381,1.39,37.77,0.21,0.3
2018,Enero,Galicia,OTR.HORTALIZAS/VERD.,2584.33,454752,1.76,75.43,0.93,1.64
2018,Enero,Galicia,BROCOLI,540.16,74572,1.38,34,0.19,0.27
2018,Enero,Galicia,ALCACHOFAS,72.25,14754,2.04,6.56,0.03,0.05
2018,Enero,Galicia,VERD./HORT. IV GAMA,944.58,238169,2.52,53.28,0.34,0.86
2018,Enero,La Rioja,TOTAL PATATAS,504.68,35196,0.7,67.27,1.59,1.11
2018,Enero,La Rioja,PATATAS FRESCAS,402.25,23873,0.59,51.59,1.27,0.75
2018,Enero,La Rioja,PATATAS CONGELADAS,10.32,1186,1.15,5.61,0.03,0.04
2018,Enero,La Rioja,PATATAS PROCESADAS,18.42,10137,5.5,32.21,0.06,0.32
2018,Enero,La Rioja,T.HORTALIZAS FRESCAS,1043.57,195986,1.88,97.49,3.3,6.19
2018,Enero,La Rioja,TOMATES,119.21,20897,1.75,62.55,0.38,0.66
2018,Enero,La Rioja,CEBOLLAS,196.52,23191,1.18,74.43,0.62,0.73
2018,Enero,La Rioja,AJOS,17.3,655,3.79,18.29,0.05,0.21
2018,Enero,La Rioja,COLES,20.64,2225,1.08,10.08,0.07,0.07
2018,Enero,La Rioja,PEPINOS,14.79,2132,1.44,11.72,0.05,0.07
2018,Enero,La Rioja,JUDIAS VERDES,26.84,906,3.38,29.02,0.08,0.29
