Producto,Origen,Unidad,Familia,Year,Mes,Precio medio,Volumen
Acelgas,Alicante,kg,Hortalizas hoja,2020,9,0.5,60
Acelgas,Alicante,kg,Hortalizas hoja,2020,10,0.5,395
Acelgas,Alicante,kg,Hortalizas hoja,2020,11,0.516666667,304
Acelgas,Almería,kg,Hortalizas hoja,2018,1,0.75,312
Acelgas,Almería,kg,Hortalizas hoja,2018,2,0.75,233
Acelgas,Almería,kg,Hortalizas hoja,2018,3,0.6,68
Acelgas,Almería,kg,Hortalizas hoja,2018,4,0.575,547
Acelgas,Almería,kg,Hortalizas hoja,2018,5,0.55,752
Acelgas,Almería,kg,Hortalizas hoja,2018,12,0.766666667,744
Acelgas,Almería,kg,Hortalizas hoja,2019,1,0.8,14
Acelgas,Almería,kg,Hortalizas hoja,2019,2,0.7,150
Acelgas,Almería,kg,Hortalizas hoja,2019,3,0.625,285
Acelgas,Almería,kg,Hortalizas hoja,2019,4,0.642857143,1816
Acelgas,Almería,kg,Hortalizas hoja,2019,5,0.55,1760
Acelgas,Almería,kg,Hortalizas hoja,2019,6,0.45,1036
Acelgas,Almería,kg,Hortalizas hoja,2020,3,0.725,388
Acelgas,Almería,kg,Hortalizas hoja,2020,10,0.5,705
Acelgas,Almería,kg,Hortalizas hoja,2020,11,0.5,865
Acelgas,Barcelona,kg,Hortalizas hoja,2018,1,0.778571429,231649
Acelgas,Barcelona,kg,Hortalizas hoja,2018,2,0.71,223354
Acelgas,Barcelona,kg,Hortalizas hoja,2018,3,0.54047619,235137
Acelgas,Barcelona,kg,Hortalizas hoja,2018,4,0.5675,212751
Acelgas,Barcelona,kg,Hortalizas hoja,2018,5,0.561363636,215514
Acelgas,Barcelona,kg,Hortalizas hoja,2018,6,0.55952381,167705
Acelgas,Barcelona,kg,Hortalizas hoja,2018,7,0.563636364,136581
Acelgas,Barcelona,kg,Hortalizas hoja,2018,8,0.575,112884
Acelgas,Barcelona,kg,Hortalizas hoja,2018,9,0.627777778,138930
Acelgas,Barcelona,kg,Hortalizas hoja,2018,10,0.656818182,260073
Acelgas,Barcelona,kg,Hortalizas hoja,2018,11,0.864285714,175374
Acelgas,Barcelona,kg,Hortalizas hoja,2018,12,0.816666667,132908
Acelgas,Barcelona,kg,Hortalizas hoja,2019,1,0.909090909,249992
Acelgas,Barcelona,kg,Hortalizas hoja,2019,2,0.705,277370
Acelgas,Barcelona,kg,Hortalizas hoja,2019,3,0.564285714,281166
Acelgas,Barcelona,kg,Hortalizas hoja,2019,4,0.6375,248738
Acelgas,Barcelona,kg,Hortalizas hoja,2019,5,0.540909091,231164
Acelgas,Barcelona,kg,Hortalizas hoja,2019,6,0.513888889,182019
Acelgas,Barcelona,kg,Hortalizas hoja,2019,7,0.582608696,137090
Acelgas,Barcelona,kg,Hortalizas hoja,2019,8,0.561904762,98047
Acelgas,Barcelona,kg,Hortalizas hoja,2019,9,0.618421053,230776
Acelgas,Barcelona,kg,Hortalizas hoja,2019,10,0.630434783,266625
Acelgas,Barcelona,kg,Hortalizas hoja,2019,11,0.5175,227448
Acelgas,Barcelona,kg,Hortalizas hoja,2019,12,0.718421053,167649
Acelgas,Barcelona,kg,Hortalizas hoja,2020,1,0.661904762,230982
Acelgas,Barcelona,kg,Hortalizas hoja,2020,2,0.62,72566
Acelgas,Barcelona,kg,Hortalizas hoja,2020,3,0.706666667,150459
Acelgas,Barcelona,kg,Hortalizas hoja,2020,4,0.695,220708
Acelgas,Barcelona,kg,Hortalizas hoja,2020,5,0.8125,184967
Acelgas,Barcelona,kg,Hortalizas hoja,2020,6,0.565,183394
Acelgas,Barcelona,kg,Hortalizas hoja,2020,7,0.497391304,143738
Acelgas,Barcelona,kg,Hortalizas hoja,2020,8,0.482857143,113033
Acelgas,Barcelona,kg,Hortalizas hoja,2020,9,0.5,218307
Acelgas,Barcelona,kg,Hortalizas hoja,2020,10,0.5,245202
Acelgas,Barcelona,kg,Hortalizas hoja,2020,11,0.514285714,251589
Acelgas,Burgos,kg,Hortalizas hoja,2018,4,0.54,3040
Acelgas,Burgos,kg,Hortalizas hoja,2020,3,0.65,640
Acelgas,Burgos,kg,Hortalizas hoja,2020,4,0.705555556,4288
Acelgas,Cádiz,kg,Hortalizas hoja,2018,1,0.771428571,1224
Acelgas,Cádiz,kg,Hortalizas hoja,2018,2,0.75,264
Acelgas,Cádiz,kg,Hortalizas hoja,2018,10,0.65,105
Acelgas,Cádiz,kg,Hortalizas hoja,2018,11,0.95,25000
Acelgas,Cádiz,kg,Hortalizas hoja,2019,2,0.6,35
Acelgas,Castellón,kg,Hortalizas hoja,2018,2,0.75,80
Acelgas,Castellón,kg,Hortalizas hoja,2018,3,0.575,186
Acelgas,Castellón,kg,Hortalizas hoja,2019,3,0.5,240
Acelgas,Chile,kg,Hortalizas hoja,2020,9,0.5,31
Acelgas,China,kg,Hortalizas hoja,2018,11,0.95,6
Acelgas,China,kg,Hortalizas hoja,2018,12,0.766666667,90
Acelgas,China,kg,Hortalizas hoja,2019,1,1.1,30
Acelgas,Córdoba,kg,Hortalizas hoja,2020,10,0.5,120
Acelgas,Ecuador,kg,Hortalizas hoja,2018,2,0.7,199
Acelgas,Ecuador,kg,Hortalizas hoja,2018,4,0.55,500
Acelgas,Ecuador,kg,Hortalizas hoja,2018,5,0.5,33835
Acelgas,Ecuador,kg,Hortalizas hoja,2018,11,0.95,55615
Acelgas,Gerona,kg,Hortalizas hoja,2020,7,0.48,2
Acelgas,Gerona,kg,Hortalizas hoja,2020,8,0.483333333,8
Acelgas,Granada,kg,Hortalizas hoja,2018,11,0.65,230
Acelgas,Granada,kg,Hortalizas hoja,2019,2,0.7,184
Acelgas,Granada,kg,Hortalizas hoja,2019,4,0.616666667,334
Acelgas,Granada,kg,Hortalizas hoja,2019,5,0.583333333,404
Acelgas,Granada,kg,Hortalizas hoja,2020,1,0.6,322
Acelgas,Granada,kg,Hortalizas hoja,2020,4,0.8,69
Acelgas,Granada,kg,Hortalizas hoja,2020,5,0.875,102
Acelgas,Granada,kg,Hortalizas hoja,2020,9,0.5,44
Acelgas,Huelva,kg,Hortalizas hoja,2019,12,0.8,708
Acelgas,Huelva,kg,Hortalizas hoja,2020,1,0.7,160
Acelgas,Huesca,kg,Hortalizas hoja,2018,3,0.6,24
Acelgas,Italia,kg,Hortalizas hoja,2018,2,0.75,16
Acelgas,Italia,kg,Hortalizas hoja,2018,3,0.5375,20
Acelgas,Italia,kg,Hortalizas hoja,2018,4,0.55,16
Acelgas,Italia,kg,Hortalizas hoja,2018,7,0.6,2
Acelgas,Italia,kg,Hortalizas hoja,2018,10,0.6625,68
Acelgas,Italia,kg,Hortalizas hoja,2018,11,0.916666667,17
Acelgas,Italia,kg,Hortalizas hoja,2018,12,0.7,13
Acelgas,Italia,kg,Hortalizas hoja,2019,1,1.05,15
Acelgas,Italia,kg,Hortalizas hoja,2019,4,0.65,17
Acelgas,Italia,kg,Hortalizas hoja,2019,6,0.525,42
Acelgas,Italia,kg,Hortalizas hoja,2019,7,0.616666667,98
Acelgas,Italia,kg,Hortalizas hoja,2019,12,0.725,24
Acelgas,La Coruña,kg,Hortalizas hoja,2018,3,0.55,1148
Acelgas,La Coruña,kg,Hortalizas hoja,2018,4,0.575,404
Acelgas,La Coruña,kg,Hortalizas hoja,2018,6,0.6,231
Acelgas,Lérida,kg,Hortalizas hoja,2018,1,0.7,168
Acelgas,Lérida,kg,Hortalizas hoja,2018,2,0.725,1300
Acelgas,Lérida,kg,Hortalizas hoja,2018,3,0.466666667,1056
Acelgas,Lérida,kg,Hortalizas hoja,2020,10,0.5,264
Acelgas,Madrid,kg,Hortalizas hoja,2018,2,0.7,455
Acelgas,Madrid,kg,Hortalizas hoja,2018,3,0.55,192
Acelgas,Madrid,kg,Hortalizas hoja,2018,4,0.6,1595
Acelgas,Madrid,kg,Hortalizas hoja,2018,6,0.55,2120
Acelgas,Madrid,kg,Hortalizas hoja,2018,12,0.7,80
Acelgas,Madrid,kg,Hortalizas hoja,2020,7,0.48,669
Acelgas,Marruecos,kg,Hortalizas hoja,2018,12,0.8,400
Acelgas,Marruecos,kg,Hortalizas hoja,2019,1,1.05,560
Acelgas,Marruecos,kg,Hortalizas hoja,2019,4,0.633333333,880
Acelgas,Murcia,kg,Hortalizas hoja,2018,1,0.779166667,553
Acelgas,Murcia,kg,Hortalizas hoja,2018,2,0.708333333,1546
Acelgas,Murcia,kg,Hortalizas hoja,2018,3,0.508333333,1682
Acelgas,Murcia,kg,Hortalizas hoja,2018,4,0.572222222,1140
Acelgas,Murcia,kg,Hortalizas hoja,2018,5,0.561764706,2064
Acelgas,Murcia,kg,Hortalizas hoja,2018,6,0.566666667,752
Acelgas,Murcia,kg,Hortalizas hoja,2018,7,0.65,320
Acelgas,Murcia,kg,Hortalizas hoja,2018,8,0.525,1056
Acelgas,Murcia,kg,Hortalizas hoja,2018,9,0.65,250
Acelgas,Murcia,kg,Hortalizas hoja,2018,11,0.95,12
Acelgas,Murcia,kg,Hortalizas hoja,2018,12,0.7,640
Acelgas,Murcia,kg,Hortalizas hoja,2019,1,1.06,768
Acelgas,Murcia,kg,Hortalizas hoja,2019,4,0.675,600
Acelgas,Murcia,kg,Hortalizas hoja,2019,6,0.45,360
Acelgas,Murcia,kg,Hortalizas hoja,2019,7,0.6,102
Acelgas,Murcia,kg,Hortalizas hoja,2019,12,0.65,520
Acelgas,Murcia,kg,Hortalizas hoja,2020,6,0.6,120
Acelgas,Navarra,kg,Hortalizas hoja,2018,2,0.721428571,537
Acelgas,Navarra,kg,Hortalizas hoja,2018,3,0.522222222,1397
Acelgas,Navarra,kg,Hortalizas hoja,2018,4,0.556666667,338
Acelgas,Navarra,kg,Hortalizas hoja,2018,5,0.592307692,737
Acelgas,Navarra,kg,Hortalizas hoja,2018,6,0.563888889,133
Acelgas,Navarra,kg,Hortalizas hoja,2018,7,0.583333333,242
Acelgas,Navarra,kg,Hortalizas hoja,2018,8,0.6,163
Acelgas,Navarra,kg,Hortalizas hoja,2018,9,0.635,82
Acelgas,Navarra,kg,Hortalizas hoja,2018,10,0.658823529,246
Acelgas,Navarra,kg,Hortalizas hoja,2018,11,0.809090909,67
Acelgas,Navarra,kg,Hortalizas hoja,2018,12,0.7,31
Acelgas,Navarra,kg,Hortalizas hoja,2019,1,1.05,8
Acelgas,Navarra,kg,Hortalizas hoja,2019,4,0.65,32
Acelgas,Navarra,kg,Hortalizas hoja,2019,6,0.525,104
Acelgas,Navarra,kg,Hortalizas hoja,2019,7,0.60625,166
Acelgas,Navarra,kg,Hortalizas hoja,2019,12,0.733333333,63
Acelgas,Navarra,kg,Hortalizas hoja,2020,6,0.6,6
Acelgas,Navarra,kg,Hortalizas hoja,2020,7,0.6,3
Acelgas,Otras provincias,kg,Hortalizas hoja,2018,4,0.591666667,9643
Acelgas,Otras provincias,kg,Hortalizas hoja,2018,7,0.6,4423
Acelgas,Otras provincias,kg,Hortalizas hoja,2018,9,0.65,8011
Acelgas,Otras provincias,kg,Hortalizas hoja,2018,10,0.68,6722
Acelgas,Otras provincias,kg,Hortalizas hoja,2018,11,0.69,3312
Acelgas,Otras provincias,kg,Hortalizas hoja,2018,12,0.7,917
Acelgas,Otras provincias,kg,Hortalizas hoja,2019,1,1,3206
Acelgas,Otras provincias,kg,Hortalizas hoja,2019,2,0.9,1714
Acelgas,Otras provincias,kg,Hortalizas hoja,2019,4,0.65,1350
Acelgas,Otras provincias,kg,Hortalizas hoja,2019,6,0.51,10890
Acelgas,Otras provincias,kg,Hortalizas hoja,2019,7,0.611111111,3840
Acelgas,Otras provincias,kg,Hortalizas hoja,2019,12,0.733333333,12786
Acelgas,Otras provincias,kg,Hortalizas hoja,2020,6,0.6,1070
Acelgas,Otras provincias,kg,Hortalizas hoja,2020,7,0.6,296
Acelgas,Otros países América,kg,Hortalizas hoja,2018,1,0.75,240
Acelgas,Otros países América,kg,Hortalizas hoja,2018,3,0.6,960
Acelgas,Otros países América,kg,Hortalizas hoja,2018,4,0.55,1170
Acelgas,Otros países América,kg,Hortalizas hoja,2019,1,0.98,960
Acelgas,Tarragona,kg,Hortalizas hoja,2018,1,0.779411765,8077
Acelgas,Tarragona,kg,Hortalizas hoja,2018,4,0.566666667,884
Acelgas,Tarragona,kg,Hortalizas hoja,2018,5,0.558333333,5330
Acelgas,Tarragona,kg,Hortalizas hoja,2018,6,0.55625,7314
Acelgas,Tarragona,kg,Hortalizas hoja,2018,7,0.570588235,5894
Acelgas,Tarragona,kg,Hortalizas hoja,2018,8,0.579411765,6668
Acelgas,Tarragona,kg,Hortalizas hoja,2018,9,0.623333333,8904
Acelgas,Tarragona,kg,Hortalizas hoja,2018,10,0.66,5892
Acelgas,Tarragona,kg,Hortalizas hoja,2018,11,0.83,2482
Acelgas,Tarragona,kg,Hortalizas hoja,2018,12,0.841666667,1731
Acelgas,Tarragona,kg,Hortalizas hoja,2019,1,1.06,2004
Acelgas,Tarragona,kg,Hortalizas hoja,2019,2,0.9,384
Acelgas,Tarragona,kg,Hortalizas hoja,2019,4,0.666666667,918
Acelgas,Tarragona,kg,Hortalizas hoja,2019,6,0.51,1106
Acelgas,Tarragona,kg,Hortalizas hoja,2019,7,0.605555556,1420
Acelgas,Tarragona,kg,Hortalizas hoja,2019,9,0.636363636,18061
Acelgas,Tarragona,kg,Hortalizas hoja,2019,10,0.6,5757
Acelgas,Tarragona,kg,Hortalizas hoja,2019,12,0.7,104
Acelgas,Tarragona,kg,Hortalizas hoja,2020,1,0.7,4690
Acelgas,Tarragona,kg,Hortalizas hoja,2020,3,0.7,135
Acelgas,Tarragona,kg,Hortalizas hoja,2020,4,0.75,96
Acelgas,USA,kg,Hortalizas hoja,2018,3,0.6,9
Acelgas,USA,kg,Hortalizas hoja,2019,7,0.6,18
Acelgas,Valencia,kg,Hortalizas hoja,2018,1,0.783333333,7587
Acelgas,Valencia,kg,Hortalizas hoja,2018,2,0.707142857,2326
Acelgas,Valencia,kg,Hortalizas hoja,2018,3,0.52,9710
Acelgas,Valencia,kg,Hortalizas hoja,2018,4,0.571428571,7982
Acelgas,Valencia,kg,Hortalizas hoja,2018,5,0.561764706,6811
Acelgas,Valencia,kg,Hortalizas hoja,2018,6,0.563888889,4349
Acelgas,Valencia,kg,Hortalizas hoja,2018,7,0.56875,4491
Acelgas,Valencia,kg,Hortalizas hoja,2018,8,0.573809524,5808
Acelgas,Valencia,kg,Hortalizas hoja,2018,9,0.626923077,2190
Acelgas,Valencia,kg,Hortalizas hoja,2018,10,0.6575,7964
Acelgas,Valencia,kg,Hortalizas hoja,2018,11,0.8625,7767
Acelgas,Valencia,kg,Hortalizas hoja,2018,12,0.816666667,7887
Acelgas,Valencia,kg,Hortalizas hoja,2019,1,1,3869
Acelgas,Valencia,kg,Hortalizas hoja,2019,2,0.9,69
Acelgas,Valencia,kg,Hortalizas hoja,2019,4,0.65,5351
Acelgas,Valencia,kg,Hortalizas hoja,2019,6,0.51,3664
Acelgas,Valencia,kg,Hortalizas hoja,2019,7,0.611111111,2023
Acelgas,Valencia,kg,Hortalizas hoja,2019,8,0.592857143,2705
Acelgas,Valencia,kg,Hortalizas hoja,2019,9,0.675,59
Acelgas,Valencia,kg,Hortalizas hoja,2019,10,0.605,1236
Acelgas,Valencia,kg,Hortalizas hoja,2019,11,0.530555556,20546
Acelgas,Valencia,kg,Hortalizas hoja,2019,12,0.692307692,17358
Acelgas,Valencia,kg,Hortalizas hoja,2020,1,0.65,14508
Acelgas,Valencia,kg,Hortalizas hoja,2020,2,0.62,4640
Acelgas,Valencia,kg,Hortalizas hoja,2020,3,0.7,1384
Acelgas,Valencia,kg,Hortalizas hoja,2020,4,0.7,1766
Acelgas,Valencia,kg,Hortalizas hoja,2020,5,0.83,1466
Acelgas,Valencia,kg,Hortalizas hoja,2020,6,0.567647059,2094
Acelgas,Valencia,kg,Hortalizas hoja,2020,7,0.6,75
Acelgas,Valladolid,kg,Hortalizas hoja,2018,10,0.65,420
Aguacate,Álava,kg,Frutas exóticas,2020,9,2.5,264
Aguacate,Albacete,kg,Frutas exóticas,2018,4,2.9,167
Aguacate,Alicante,kg,Frutas exóticas,2018,3,3.35,106
Aguacate,Alicante,kg,Frutas exóticas,2018,12,2.7,10272
Aguacate,Alicante,kg,Frutas exóticas,2019,1,3,252
Aguacate,Alicante,kg,Frutas exóticas,2019,12,3.4,266
Aguacate,Alicante,kg,Frutas exóticas,2020,2,3.2,5280
Aguacate,Almería,kg,Frutas exóticas,2018,4,3.6,115
Aguacate,Almería,kg,Frutas exóticas,2018,5,3,30
Aguacate,Almería,kg,Frutas exóticas,2018,8,2.75,23841
Aguacate,Almería,kg,Frutas exóticas,2018,11,2.4,977
Aguacate,Almería,kg,Frutas exóticas,2019,2,3,192
Aguacate,Almería,kg,Frutas exóticas,2019,3,3,176
Aguacate,Almería,kg,Frutas exóticas,2020,10,2,80
Aguacate,Ávila,kg,Frutas exóticas,2020,11,3.625,11842
Aguacate,Baleares,kg,Frutas exóticas,2018,1,3,256
Aguacate,Baleares,kg,Frutas exóticas,2018,2,3.35,320
Aguacate,Baleares,kg,Frutas exóticas,2018,3,3.45,2696
Aguacate,Baleares,kg,Frutas exóticas,2018,4,3.185714286,2240
Aguacate,Barcelona,kg,Frutas exóticas,2018,3,3.403125,24015
Aguacate,Barcelona,kg,Frutas exóticas,2018,4,3.142105263,34536
Aguacate,Barcelona,kg,Frutas exóticas,2018,5,3.033333333,51293
Aguacate,Barcelona,kg,Frutas exóticas,2018,6,3,17992
Aguacate,Barcelona,kg,Frutas exóticas,2018,7,2.904166667,43869
Aguacate,Barcelona,kg,Frutas exóticas,2018,8,2.75,41733
Aguacate,Barcelona,kg,Frutas exóticas,2018,9,2.75,9916
Aguacate,Barcelona,kg,Frutas exóticas,2018,10,2.722727273,80765
Aguacate,Barcelona,kg,Frutas exóticas,2018,11,2.49375,37483
Aguacate,Barcelona,kg,Frutas exóticas,2018,12,2.7,10878
Aguacate,Barcelona,kg,Frutas exóticas,2019,1,3,11700
Aguacate,Barcelona,kg,Frutas exóticas,2019,2,3,571
Aguacate,Barcelona,kg,Frutas exóticas,2019,4,3.1,8265
Aguacate,Barcelona,kg,Frutas exóticas,2019,6,2.9,20312
Aguacate,Barcelona,kg,Frutas exóticas,2019,7,2.88,9789
Aguacate,Barcelona,kg,Frutas exóticas,2019,12,3.4,10533
Aguacate,Barcelona,kg,Frutas exóticas,2020,2,3.2,5039
Aguacate,Barcelona,kg,Frutas exóticas,2020,6,1.7,4109
Aguacate,Barcelona,kg,Frutas exóticas,2020,7,1.7,4357
Aguacate,Brasil,kg,Frutas exóticas,2018,3,3.6,240
Aguacate,Brasil,kg,Frutas exóticas,2018,5,3,408
Aguacate,Brasil,kg,Frutas exóticas,2018,6,3,15
Aguacate,Brasil,kg,Frutas exóticas,2018,7,2.96875,38200
Aguacate,Brasil,kg,Frutas exóticas,2019,4,2.9,16
Aguacate,Brasil,kg,Frutas exóticas,2019,5,2.9,3331
Aguacate,Brasil,kg,Frutas exóticas,2019,10,3.414285714,3200
Aguacate,Brasil,kg,Frutas exóticas,2019,11,3.74,24308
Aguacate,Brasil,kg,Frutas exóticas,2019,12,3.4,2091
Aguacate,Brasil,kg,Frutas exóticas,2020,1,3.4,14107
Aguacate,Brasil,kg,Frutas exóticas,2020,2,3.2,14353
Aguacate,Brasil,kg,Frutas exóticas,2020,3,3.2,133
Aguacate,Brasil,kg,Frutas exóticas,2020,4,3.2,1255
Aguacate,Brasil,kg,Frutas exóticas,2020,5,2.2,363
Aguacate,Brasil,kg,Frutas exóticas,2020,6,2.166666667,453
Aguacate,Brasil,kg,Frutas exóticas,2020,7,2.354545455,5520
Aguacate,Brasil,kg,Frutas exóticas,2020,8,2.5,3980
Aguacate,Brasil,kg,Frutas exóticas,2020,10,2,1718
Aguacate,Brasil,kg,Frutas exóticas,2020,11,3.705555556,27341
Aguacate,Cádiz,kg,Frutas exóticas,2018,1,3.083333333,1276
Aguacate,Cádiz,kg,Frutas exóticas,2018,2,3.358333333,3450
Aguacate,Cádiz,kg,Frutas exóticas,2018,3,3.225,1350
Aguacate,Cádiz,kg,Frutas exóticas,2018,4,2.8,1380
Aguacate,Cádiz,kg,Frutas exóticas,2018,5,3,2400
Aguacate,Cádiz,kg,Frutas exóticas,2018,6,2.975,23688
Aguacate,Cádiz,kg,Frutas exóticas,2018,7,2.875,7502
Aguacate,Cádiz,kg,Frutas exóticas,2018,8,2.75,528
Aguacate,Cádiz,kg,Frutas exóticas,2018,10,2.8,5642
Aguacate,Cádiz,kg,Frutas exóticas,2018,11,2.4,230
Aguacate,Cádiz,kg,Frutas exóticas,2018,12,2.7,552
Aguacate,Cádiz,kg,Frutas exóticas,2019,1,3,952
Aguacate,Cádiz,kg,Frutas exóticas,2019,7,2.9,184
Aguacate,Cádiz,kg,Frutas exóticas,2019,9,3.3,1039
Aguacate,Cádiz,kg,Frutas exóticas,2019,10,3.5,15146
Aguacate,Cádiz,kg,Frutas exóticas,2019,12,3.4,368
Aguacate,Cádiz,kg,Frutas exóticas,2020,1,3.4,1193
Aguacate,Cádiz,kg,Frutas exóticas,2020,4,3.2,20
Aguacate,Canadá,kg,Frutas exóticas,2018,12,2.7,176
Aguacate,Castellón,kg,Frutas exóticas,2018,1,3.3,97
Aguacate,Castellón,kg,Frutas exóticas,2018,2,3.327777778,2306
Aguacate,Castellón,kg,Frutas exóticas,2018,3,3.383333333,179
Aguacate,Castellón,kg,Frutas exóticas,2018,4,3.3,994
Aguacate,Castellón,kg,Frutas exóticas,2018,5,3.042857143,633
Aguacate,Castellón,kg,Frutas exóticas,2018,6,2.985714286,12467
